source,search_query,county_query,search_town,search_town_norm,search_county,title,price_raw,rent_price,beds_raw,location_raw,listing_url,raw_card_text,date_scraped,scraped_at,source_search_url,combined_text,bedrooms,bathrooms,sqft,is_furnished_source,is_furnished_text_flag,is_furnished_final,title_clean,location_clean,location_norm,resolved_town_norm,resolved_town,resolved_county,location_resolution_source,actual_town_norm,actual_town,actual_county,actual_town_source,listing_town_norm,listing_town,listing_county,listing_town_source,modeling_town_norm,modeling_town,modeling_county,search_location_mismatch_flag,non_residential_flag,out_of_state_location_flag,outside_target_area_review_flag,rent_missing_flag,rent_nonpositive_flag,rent_iqr_lower_overall,rent_iqr_upper_overall,rent_iqr_outlier_overall_flag,rent_iqr_outlier_by_source_flag,rent_iqr_lower_by_source,rent_iqr_upper_by_source,quality_exclusion_flag,geography_exclusion_flag,baseline_exclusion_flag,rental_town_norm,assessor_town_norm,assessor_records,town_median_total_value,town_mean_total_value,town_median_building_value,town_median_land_value,town_median_building_size,town_median_lot_size
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,"WINTER RENTAL:178 Sea Rd, Kennebunk - 3 Bdrm, 2 Bath, 1536 sq ft","$2,300",2300.0,,Kennebunk,https://maine.craigslist.org/apa/d/cape-porpoise-winter-rental178-sea-rd/7939646133.html,"WINTER RENTAL:178 Sea Rd, Kennebunk - 3 Bdrm, 2 Bath, 1536 sq ft $2,300 Kennebunk",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"WINTER RENTAL:178 Sea Rd, Kennebunk - 3 Bdrm, 2 Bath, 1536 sq ft  Kennebunk WINTER RENTAL:178 Sea Rd, Kennebunk - 3 Bdrm, 2 Bath, 1536 sq ft $2,300 Kennebunk",,2.0,1536.0,0,0,0,"WINTER RENTAL:178 Sea Rd, Kennebunk - 3 Bdrm, 2 Bath, 1536 sq ft",Kennebunk,KENNEBUNK,KENNEBUNK,Kennebunk,York,location_raw,KENNEBUNK,Kennebunk,York,location_raw,KENNEBUNK,Kennebunk,York,location_raw,KENNEBUNK,Kennebunk,York,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,KENNEBUNK,KENNEBUNK,992,92150.0,132169.48453608248,221150.0,91600.0,3878.0,0.25
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,"3 bed 1 bath, ALL utilities included","$3,500",3500.0,,Westbrook,https://maine.craigslist.org/apa/d/westbrook-bed-bath-all-utilities/7935191909.html,"3 bed 1 bath, ALL utilities included $3,500 Westbrook",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"3 bed 1 bath, ALL utilities included  Westbrook 3 bed 1 bath, ALL utilities included $3,500 Westbrook",3.0,1.0,,0,0,0,"3 bed 1 bath, ALL utilities included",Westbrook,WESTBROOK,WESTBROOK,Westbrook,Cumberland,location_raw,WESTBROOK,Westbrook,Cumberland,location_raw,WESTBROOK,Westbrook,Cumberland,location_raw,WESTBROOK,Westbrook,Cumberland,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,WESTBROOK,WESTBROOK,938,71600.0,74213.71490280777,,71500.0,,0.137741
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,"Available Now.. Sinlge Floor Living, Close to School and Shops","$1,975",1975.0,,Bath,https://maine.craigslist.org/apa/d/bath-available-now-sinlge-floor-living/7941954973.html,"Available Now.. Sinlge Floor Living, Close to School and Shops $1,975 Bath",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"Available Now.. Sinlge Floor Living, Close to School and Shops  Bath Available Now.. Sinlge Floor Living, Close to School and Shops $1,975 Bath",,975.0,,0,0,0,"Available Now.. Sinlge Floor Living, Close to School and Shops",Bath,BATH,BATH,Bath,Sagadahoc,location_raw,BATH,Bath,Sagadahoc,location_raw,BATH,Bath,Sagadahoc,location_raw,BATH,Bath,Sagadahoc,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,BATH,BATH,998,148400.0,223565.53509664294,106100.0,31300.0,0.0,0.36000001
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,Available Now.... Stunning House - Must See!!,"$2,650",2650.0,,Arrowsic,https://maine.craigslist.org/apa/d/bath-available-now-stunning-house-must/7941954036.html,"Available Now.... Stunning House - Must See!! $2,650 Arrowsic",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"Available Now.... Stunning House - Must See!!  Arrowsic Available Now.... Stunning House - Must See!! $2,650 Arrowsic",,,,0,0,0,Available Now.... Stunning House - Must See!!,Arrowsic,ARROWSIC,BATH,Bath,Sagadahoc,listing_url,BATH,Bath,Sagadahoc,listing_url,BATH,Bath,Sagadahoc,listing_url,BATH,Bath,Sagadahoc,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,BATH,BATH,998,148400.0,223565.53509664294,106100.0,31300.0,0.0,0.36000001
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,"Clean, Quiet and Safe 3 bed 1 Bath Mobile Home","$1,500",1500.0,,Gardiner,https://maine.craigslist.org/apa/d/gardiner-clean-quiet-and-safe-bed-bath/7934244116.html,"Clean, Quiet and Safe 3 bed 1 Bath Mobile Home $1,500 Gardiner",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"Clean, Quiet and Safe 3 bed 1 Bath Mobile Home  Gardiner Clean, Quiet and Safe 3 bed 1 Bath Mobile Home $1,500 Gardiner",3.0,1.0,,0,0,0,"Clean, Quiet and Safe 3 bed 1 Bath Mobile Home",Gardiner,GARDINER,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,GARDINER,GARDINER,1000,106250.0,111947.50602409638,78450.0,25300.0,1326.0,0.56000918
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,Lovely 3br 2.5 bath townhouse in the heart of Yarmouth Village with be,"$1,700",1700.0,,Yarmouth,https://maine.craigslist.org/apa/d/yarmouth-lovely-3br-25-bath-townhouse/7941882593.html,"Lovely 3br 2.5 bath townhouse in the heart of Yarmouth Village with be $1,700 Yarmouth",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"Lovely 3br 2.5 bath townhouse in the heart of Yarmouth Village with be  Yarmouth Lovely 3br 2.5 bath townhouse in the heart of Yarmouth Village with be $1,700 Yarmouth",3.0,2.5,,0,0,0,Lovely 3br 2.5 bath townhouse in the heart of Yarmouth Village with be,Yarmouth,YARMOUTH,YARMOUTH,Yarmouth,Cumberland,location_raw,YARMOUTH,Yarmouth,Cumberland,location_raw,YARMOUTH,Yarmouth,Cumberland,location_raw,YARMOUTH,Yarmouth,Cumberland,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,YARMOUTH,YARMOUTH,991,158900.0,225475.07172131148,0.0,0.0,0.0,1.0
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,2 Beds 1 Bath - Townhouse,"$2,900",2900.0,,,https://maine.craigslist.org/apa/d/cape-elizabeth-beds-bath-townhouse/7941866739.html,"2 Beds 1 Bath - Townhouse $2,900",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"2 Beds 1 Bath - Townhouse   2 Beds 1 Bath - Townhouse $2,900",2.0,1.0,,0,0,0,2 Beds 1 Bath - Townhouse,,,CAPE ELIZABETH,Cape Elizabeth,Cumberland,listing_url,CAPE ELIZABETH,Cape Elizabeth,Cumberland,listing_url,CAPE ELIZABETH,Cape Elizabeth,Cumberland,listing_url,CAPE ELIZABETH,Cape Elizabeth,Cumberland,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,CAPE ELIZABETH,CAPE ELIZABETH,996,204900.0,267076.57338965154,109000.0,84100.0,0.0,0.26999542
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,Falmouth Foreside 3 BR 1.5 Bath Home,"$3,250",3250.0,,Falmouth Foreside,https://maine.craigslist.org/apa/d/cumberland-foreside-falmouth-foreside/7932697561.html,"Falmouth Foreside 3 BR 1.5 Bath Home $3,250 Falmouth Foreside",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"Falmouth Foreside 3 BR 1.5 Bath Home  Falmouth Foreside Falmouth Foreside 3 BR 1.5 Bath Home $3,250 Falmouth Foreside",3.0,1.5,,0,0,0,Falmouth Foreside 3 BR 1.5 Bath Home,Falmouth Foreside,FALMOUTH FORESIDE,FALMOUTH,Falmouth,Cumberland,location_raw,FALMOUTH,Falmouth,Cumberland,location_raw,FALMOUTH,Falmouth,Cumberland,location_raw,FALMOUTH,Falmouth,Cumberland,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,FALMOUTH,FALMOUTH,981,174623.0,242412.7564935065,82313.0,62300.0,0.0,0.0
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,"Clean, Quiet and Safe 2 bed 1 Bath Mobile Home","$1,300",1300.0,,Gardiner,https://maine.craigslist.org/apa/d/gardiner-clean-quiet-and-safe-bed-bath/7934243770.html,"Clean, Quiet and Safe 2 bed 1 Bath Mobile Home $1,300 Gardiner",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"Clean, Quiet and Safe 2 bed 1 Bath Mobile Home  Gardiner Clean, Quiet and Safe 2 bed 1 Bath Mobile Home $1,300 Gardiner",2.0,1.0,,0,0,0,"Clean, Quiet and Safe 2 bed 1 Bath Mobile Home",Gardiner,GARDINER,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,GARDINER,GARDINER,1000,106250.0,111947.50602409638,78450.0,25300.0,1326.0,0.56000918
craigslist,Bath,Sagadahoc,Bath,BATH,Sagadahoc,"1 Bedroom, second floor unit in downtown Bath","$1,225",1225.0,,,https://maine.craigslist.org/apa/d/bath-bedroom-second-floor-unit-in/7941093333.html,"1 Bedroom, second floor unit in downtown Bath $1,225",2026-06-19,2026-06-19 21:27:44,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Bath,"1 Bedroom, second floor unit in downtown Bath   1 Bedroom, second floor unit in downtown Bath $1,225",1.0,,,0,0,0,"1 Bedroom, second floor unit in downtown Bath",,,BATH,Bath,Sagadahoc,listing_url,BATH,Bath,Sagadahoc,listing_url,BATH,Bath,Sagadahoc,listing_url,BATH,Bath,Sagadahoc,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,BATH,BATH,998,148400.0,223565.53509664294,106100.0,31300.0,0.0,0.36000001
